,timestamp,generation_biomass,generation_fossil_brown_coal_lignite,generation_fossil_coal_derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_aggregated,generation_hydro_pumped_storage_consumption,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,forecast_solar_day_ahead,forecast_wind_offshore_eday_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
31963,2018-08-24 20:00:00+02:00,393.0,465.0,0.0,6418.0,5265.0,318.0,0.0,0.0,0.0,0.0,0.0,856.0,2924.0,0.0,6959.0,68.0,105.0,1027.0,304.0,0.0,5553.0,981,,5779,31733,32142.0,68.0,73.8
28752,2018-04-13 01:00:00+02:00,228.0,0.0,0.0,5045.0,2921.0,297.0,0.0,0.0,0.0,0.0,835.0,1743.0,5862.0,0.0,5053.0,15.0,104.0,14.0,306.0,0.0,3152.0,22,,3517,25744,25729.0,55.6,61.3
31815,2018-08-18 16:00:00+02:00,393.0,0.0,0.0,3850.0,2372.0,234.0,0.0,0.0,0.0,0.0,0.0,815.0,1466.0,0.0,6968.0,56.0,98.0,4354.0,315.0,0.0,5139.0,4542,,5222,27531,27184.0,62.14,67.2
7460,2015-11-07 20:00:00+01:00,515.0,965.0,0.0,5613.0,7263.0,313.0,0.0,0.0,0.0,0.0,0.0,605.0,1473.0,0.0,6045.0,88.0,68.0,2385.0,269.0,0.0,4733.0,2015,,4499,30479,30320.0,60.83,65.49
4958,2015-07-26 15:00:00+02:00,536.0,752.0,0.0,4100.0,5846.0,294.0,0.0,0.0,0.0,0.0,806.0,577.0,793.0,0.0,6816.0,83.0,65.0,5163.0,255.0,0.0,5036.0,5230,,5118,29076,28731.0,44.72,55.7
5718,2015-08-27 07:00:00+02:00,533.0,757.0,0.0,4120.0,5973.0,303.0,0.0,0.0,0.0,0.0,1.0,557.0,923.0,0.0,6723.0,87.0,68.0,137.0,260.0,0.0,5863.0,162,,5758,26478,26892.0,49.56,56.32
26254,2017-12-29 22:00:00+01:00,293.0,0.0,0.0,4199.0,1513.0,332.0,0.0,0.0,0.0,0.0,23.0,1217.0,2102.0,0.0,7089.0,55.0,85.0,21.0,315.0,0.0,9785.0,12,,9968,29844,29628.0,51.0,60.6
23249,2017-08-26 18:00:00+02:00,343.0,209.0,0.0,6984.0,3649.0,295.0,0.0,0.0,0.0,0.0,498.0,443.0,520.0,0.0,6827.0,54.0,89.0,834.0,324.0,0.0,5985.0,1091,,5742,30088,29623.0,49.44,56.01
10245,2016-03-02 21:00:00+01:00,527.0,0.0,0.0,4375.0,4363.0,384.0,0.0,0.0,0.0,0.0,370.0,1007.0,4704.0,0.0,6098.0,95.0,82.0,14.0,223.0,0.0,8856.0,24,,9014,34926,34956.0,34.06,38.75
34070,2018-11-20 14:00:00+01:00,353.0,695.0,0.0,9363.0,6534.0,289.0,0.0,0.0,0.0,0.0,67.0,1078.0,2050.0,0.0,5055.0,57.0,101.0,1190.0,260.0,0.0,6081.0,1481,,7348,33179,33646.0,62.0,67.37
25081,2017-11-11 01:00:00+01:00,411.0,516.0,0.0,6324.0,5607.0,326.0,0.0,0.0,0.0,0.0,0.0,564.0,960.0,0.0,5037.0,14.0,93.0,34.0,264.0,0.0,7358.0,12,,7316,24574,24919.0,57.0,61.96
8387,2015-12-16 11:00:00+01:00,499.0,898.0,0.0,6540.0,7666.0,408.0,0.0,0.0,0.0,0.0,36.0,692.0,1822.0,0.0,6449.0,95.0,78.0,2067.0,261.0,0.0,4957.0,2146,,4916,34040,33891.0,63.29,72.92
7947,2015-11-28 03:00:00+01:00,451.0,360.0,0.0,3885.0,5308.0,342.0,0.0,0.0,0.0,0.0,3196.0,735.0,359.0,0.0,6095.0,88.0,71.0,54.0,237.0,0.0,6793.0,13,,6828,22740,22874.0,30.49,41.02
8805,2016-01-02 21:00:00+01:00,522.0,935.0,0.0,6324.0,6721.0,427.0,0.0,0.0,0.0,0.0,0.0,1053.0,8013.0,0.0,6097.0,90.0,81.0,129.0,247.0,0.0,950.0,140,,1007,34973,34700.0,55.55,67.9
12305,2016-05-27 18:00:00+02:00,328.0,0.0,0.0,4015.0,1840.0,307.0,0.0,0.0,0.0,0.0,54.0,1467.0,2939.0,0.0,5540.0,14.0,84.0,3320.0,247.0,0.0,5648.0,3384,,5458,29078,29044.0,32.91,41.18
8614,2015-12-25 22:00:00+01:00,390.0,0.0,0.0,5237.0,3589.0,188.0,0.0,0.0,0.0,0.0,0.0,566.0,1541.0,0.0,7105.0,43.0,74.0,40.0,206.0,0.0,4917.0,16,,4826,26857,25765.0,56.7,64.28
20941,2017-05-22 14:00:00+02:00,360.0,294.0,0.0,5679.0,5629.0,319.0,0.0,0.0,0.0,0.0,0.0,1125.0,2128.0,0.0,5062.0,53.0,94.0,5252.0,236.0,0.0,1151.0,5262,,1132,31265,31222.0,52.46,59.85
8883,2016-01-06 03:00:00+01:00,324.0,0.0,0.0,3906.0,1308.0,264.0,0.0,0.0,0.0,0.0,1051.0,1393.0,1176.0,0.0,6089.0,13.0,83.0,718.0,227.0,0.0,6571.0,623,,6424,22448,22440.0,27.09,20.07
31214,2018-07-24 15:00:00+02:00,386.0,665.0,0.0,7336.0,5378.0,314.0,0.0,0.0,0.0,0.0,1.0,1148.0,4979.0,0.0,6319.0,68.0,89.0,5367.0,298.0,0.0,1199.0,5341,,1693,36209,36022.0,67.35,76.79
25840,2017-12-12 16:00:00+01:00,361.0,987.0,0.0,10948.0,6627.0,342.0,0.0,0.0,0.0,0.0,4.0,1008.0,903.0,0.0,7079.0,56.0,94.0,2523.0,289.0,0.0,5844.0,2151,,5894,35498,34665.0,73.0,79.04
10691,2016-03-21 11:00:00+01:00,506.0,0.0,0.0,4708.0,4388.0,341.0,0.0,0.0,0.0,0.0,0.0,1503.0,6491.0,0.0,7103.0,88.0,69.0,1990.0,214.0,0.0,3949.0,2443,,3934,34338,34220.0,40.0,46.75
33070,2018-10-09 23:00:00+02:00,366.0,740.0,0.0,5040.0,4739.0,312.0,0.0,0.0,0.0,0.0,28.0,815.0,1445.0,0.0,6944.0,56.0,99.0,512.0,313.0,0.0,4274.0,167,,4356,27094,27106.0,70.67,67.87
18419,2017-02-06 11:00:00+01:00,368.0,575.0,0.0,9050.0,6332.0,326.0,0.0,0.0,0.0,0.0,0.0,970.0,3506.0,0.0,4036.0,65.0,104.0,4300.0,346.0,0.0,1301.0,4014,,1317,32960,32835.0,56.08,69.0
13015,2016-06-26 08:00:00+02:00,296.0,0.0,0.0,3827.0,1257.0,256.0,0.0,0.0,0.0,0.0,3277.0,975.0,949.0,0.0,7009.0,58.0,79.0,998.0,249.0,0.0,7763.0,1344,,7716,21682,21785.0,22.54,32.04
30615,2018-06-29 16:00:00+02:00,360.0,664.0,0.0,6046.0,3909.0,311.0,0.0,0.0,0.0,0.0,0.0,1379.0,4428.0,0.0,5992.0,67.0,106.0,4617.0,287.0,0.0,3676.0,4822,,3364,33778,33702.0,62.01,69.77
29545,2018-05-16 02:00:00+02:00,270.0,0.0,0.0,3944.0,1265.0,300.0,0.0,0.0,0.0,0.0,553.0,1480.0,1368.0,0.0,5982.0,56.0,92.0,821.0,176.0,0.0,8332.0,577,,7930,23115,23435.0,38.0,46.72
263,2015-01-11 23:00:00+01:00,537.0,0.0,0.0,3758.0,1727.0,206.0,0.0,0.0,0.0,0.0,1168.0,629.0,759.0,0.0,5046.0,85.0,69.0,31.0,272.0,0.0,12580.0,3,,12571,23997,23940.0,32.79,70.13
33334,2018-10-20 23:00:00+02:00,346.0,0.0,0.0,4018.0,3266.0,233.0,0.0,0.0,0.0,0.0,303.0,651.0,1272.0,0.0,7053.0,58.0,99.0,4.0,320.0,0.0,7163.0,40,,7026,24435,24495.0,60.86,66.45
32175,2018-09-02 16:00:00+02:00,387.0,771.0,0.0,7628.0,6567.0,336.0,0.0,0.0,0.0,0.0,0.0,1022.0,1699.0,0.0,7112.0,65.0,101.0,1997.0,269.0,0.0,6322.0,1775,,6019,35954,36145.0,60.51,71.1
20086,2017-04-16 23:00:00+02:00,233.0,225.0,0.0,4646.0,2063.0,237.0,0.0,0.0,0.0,0.0,0.0,1031.0,2536.0,0.0,7060.0,13.0,90.0,245.0,319.0,0.0,3879.0,246,,3919,23793,23451.0,51.04,56.94
174,2015-01-08 06:00:00+01:00,533.0,367.0,0.0,3946.0,5785.0,354.0,0.0,0.0,0.0,0.0,1804.0,631.0,943.0,0.0,6750.0,86.0,67.0,265.0,246.0,0.0,4809.0,235,,4867,23493,22551.0,44.81,69.79
19874,2017-04-08 03:00:00+02:00,388.0,399.0,0.0,6051.0,4789.0,296.0,0.0,0.0,0.0,0.0,422.0,518.0,406.0,0.0,6879.0,14.0,90.0,739.0,310.0,0.0,3637.0,517,,3580,26066,25935.0,43.95,55.7
10513,2016-03-14 01:00:00+01:00,431.0,0.0,0.0,3481.0,1122.0,267.0,0.0,0.0,0.0,0.0,1664.0,1306.0,3204.0,0.0,7110.0,93.0,62.0,613.0,207.0,0.0,5919.0,482,,6047,23827,23820.0,21.67,31.72
5230,2015-08-06 23:00:00+02:00,525.0,962.0,0.0,4923.0,7122.0,347.0,0.0,0.0,0.0,0.0,0.0,730.0,2129.0,0.0,4985.0,82.0,71.0,424.0,251.0,0.0,5579.0,323,,5722,28721,28601.0,54.58,70.68
